run,step,n_gen,fid,jsd
20250707-055456,197999,4,1.8247047585031788,0.667580783412167
20250707-055456,198999,4,1.9406400589328687,0.6867576612875262
20250707-055456,199999,4,1.8666370310095546,0.6677132231835093
20250708-031511,999,4,19.788422102836606,0.6700468460032312
20250708-031511,1999,4,19.26891285374505,0.6853370313166641
20250708-031511,2999,4,10.357180962837361,0.6902356509396583
20250708-031511,3999,4,17.84425557622745,0.6849029074406172
20250708-031511,4999,4,18.491823158223735,0.6914458434516613
20250708-031511,5999,4,4.064234191539514,0.6761123475061976
20250708-031511,6999,4,7.368760419059809,0.6891400738451008
20250708-031511,7999,4,5.265667636015093,0.6901556478693663
20250708-031511,8999,4,7.424468432629403,0.6838437155803827
20250708-031511,9999,4,4.63202771774267,0.6874714899790022
20250708-031511,10999,4,5.290654181856215,0.6925424313661681
20250708-031511,11999,4,1.8856985157674946,0.6866310847936659
20250708-031511,12999,4,8.955378665371915,0.6901556478693663
20250708-031511,13999,4,2.2818010537476825,0.688320343647393
20250708-031511,14999,4,5.748612055696697,0.692541420546219
20250708-031511,15999,4,8.880527506895385,0.68435453973132
20250708-031511,16999,4,8.314811861714439,0.6925404224479781
20250708-031511,17999,4,9.201434674668812,0.6925424313661683
20250708-031511,18999,4,10.28143710079864,0.6925404224479781
20250708-031511,19999,4,11.193155671260246,0.6925434473944916
20250708-031511,20999,4,11.245318068314116,0.6903498126020267
20250708-031511,21999,4,4.450630441719221,0.6779767543120179
20250708-031511,22999,4,8.54300494512858,0.6848075197815376
20250708-031511,23999,4,1.8102777272541772,0.6698608620409572
20250708-031511,24999,4,1.8009020820234127,0.6801580315728615
20250708-031511,25999,4,1.975244488003017,0.6743619854132898
20250708-031511,26999,4,1.8087692548734806,0.6702236434432913
20250708-031511,27999,4,1.9105874505100195,0.670272485240361
20250708-031511,28999,4,1.798788648337548,0.6850009530786291
20250708-031511,29999,4,2.0102155372250716,0.6759759187356469
20250708-031511,30999,4,1.859331572389348,0.6694325268816059
20250708-031511,31999,4,1.7501128078191095,0.6761482912365688
20250708-031511,32999,4,1.6368224606297246,0.6779985080046573
20250708-031511,33999,4,1.8873382177711053,0.6738511796763884
20250708-031511,34999,4,1.7826160305119128,0.6690479801860683
20250708-031511,35999,4,1.7598038838065961,0.6760468336524368
20250708-031511,36999,4,1.8435733501284508,0.6765426074390362
20250708-031511,37999,4,1.8940843200657105,0.6842054371817026
20250708-031511,38999,4,2.026159174914513,0.6761062311901351
20250708-031511,39999,4,1.854606919440121,0.669441387524632
20250708-031511,40999,4,1.8862331548834146,0.6735210676719328
20250708-031511,41999,4,1.7470679760666075,0.6774075244081741
20250708-031511,42999,4,1.930287591413995,0.6713469567710413
20250708-031511,43999,4,1.9036941589570022,0.678946820630379
20250708-031511,44999,4,1.8831728340574294,0.6765375166861873
20250708-031511,45999,4,1.7252022744907842,0.6779481953200859
20250708-031511,46999,4,2.0307635121679257,0.6789718654792447
20250708-031511,47999,4,1.7689824083814851,0.6717737677774867
20250708-031511,48999,4,1.8213418670000912,0.679506670443927
20250708-031511,49999,4,2.0023954503891055,0.6838313389136581
20250708-031511,50999,4,1.8582532196557922,0.6711935808412998
20250708-031511,51999,4,1.9009158773860102,0.6850711202660119
20250708-031511,52999,4,1.9206378355216958,0.6762371580354634
20250708-031511,53999,4,1.9029808651794264,0.6755993816420707
20250708-031511,54999,4,1.9741034093290508,0.6811157661214128
20250708-031511,55999,4,1.8776697648484915,0.6841104558981727
20250708-031511,56999,4,1.8101402242007414,0.6717913468713913
